Source identifier,Date located,Title,Citation,DOI or repository identifier,Publication or repository page,Source file URL,Published file name,Date accessed,Source file SHA-256,Published rights or license terms,Location of rights or license terms,Reuse permitted by published terms,Disease or diseases,Germplasm detail,Phenotype detail,Assay or field context,Relationship to measurements in other reports,Scientific use,Starting publication identifiers,Starting publication titles,Citation-tracing depth,Matching source identifiers
onegen_0011,2026-07-14,"Ahn, E., Fan, F., Prom, L. K., Odvody, G. & Magill, C. The response of sorghum cultivars to mixtures of compatible and incompatible isolates and different conidia concentrations of Colletotrichum sublineola. Physiol. Mol. Plant Pathol. https://doi.org/10.1016/j.pmpp.2021.101690 (2021).",The response of sorghum cultivars to mixtures of compatible and incompatible isolates and different conidia concentrations of Colletotrichum sublineola (2021),10.1016/j.pmpp.2021.101690,https://doi.org/10.1016/j.pmpp.2021.101690,,main article tables,,,,Https://doi.org/10.1016/j.pmpp.2021.101690,,Anthracnose,Cultivar-by-isolate-mixture experiment,Disease-response values for candidate cultivars,,,Literature context,prombib_133; prombib_164,Candidate genes for anthracnose resistance in Senegalese sorghum: a machine learning-based exploration; Genome-wide association study of Senegalese sorghum seedlings responding to a Texas isolate of Colletotrichum sublineola.,1,prom_cultivar_isolate_anthracnose_2021
onegen_0012,2026-07-14,"Ahn, E., Hu, Z., Perumal, R., Prom, L. K., Odvody, G., Upadhyaya, H. D., & Magill, C. (2019). Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut. PLoS One, 14, e0216671.","Ahn, E., Hu, Z., Perumal, R., Prom, L. K., Odvody, G., Upadhyaya, H. D., & Magill, C. (2019). Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut. PLoS One, 14, e0216671.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_105,"Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined",1,
onegen_0013,2026-07-14,"Ahn, E., Prom, L.K., and Magill, C. (2023). Multi-trait genome-wide association studies of sorghum bicolor regarding resistance to anthracnose, downy mildew, grain mold and head smut. Pathogens, 12.","Multi-Trait Genome-Wide Association Studies of Sorghum bicolor Regarding Resistance to Anthracnose, Downy Mildew, Grain Mold and Head Smut (2023)",10.3390/pathogens12060779,https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,https://mdpi-res.com/d_attachment/pathogens/pathogens-12-00779/article_deploy/pathogens-12-00779-s001.zip,pathogens-12-00779-s001.zip::pathogens-2386562-supplementary.xlsx,2026-07-14,db845c41186adaccf9b7d76b3dac6eb7eb89f9cb2a6f7d4d5c612f3e5abf546f,Creative Commons Attribution 4.0,Https://pmc.ncbi.nlm.nih.gov/articles/PMC10302846/,Reuse permitted under the published terms,Anthracnose; Downy mildew; Grain mold; Head smut,Combined prior panels,Public supplement reports derived PCA and combined values from the source measurements,,"Reuses Prom 2020 SAP grain mold, 2019 mini-core, Senegal anthracnose, and head-smut values",Literature context,prombib_137; prombib_158; prombib_164; prombib_165,"A genome-wide association study of Nigerien and Senegalese sorghum germplasms of Exserohilum turcicum, the causal agent of leaf blight; Candidate genes for anthracnose resistance in Senegalese sorghum: a machine learning-based exploration; Genome-wide association study of Nigerien and Senegalese sorghum genotypes for their response to downy mildew; Machine learning reveals complex genetics of fungal resistance in sorghum grain mold",1,prom_multitrait_reanalysis_2023
onegen_0014,2026-07-14,"Ahn E, Prom LK, Park S et al (2025) Machine learning reveals complex genetics of fungal resistance in sorghum grain mold. Heredity 134:485–499",Machine learning reveals complex genetics of fungal resistance in sorghum grain mold (2025),10.1038/s41437-025-00783-9,https://doi.org/10.1038/s41437-025-00783-9,,,,,,Https://doi.org/10.1038/s41437-025-00783-9,,Grain mold,306 SAP accessions,The disease measurements were first reported by the Prom 2020 study,,Reanalysis of Prom 2020 Texas SAP grain-mold experiment,Literature context,prombib_170,A haplotype-layered GWAS identifies a multi-trait grain mold resistance hub on sorghum chromosome 5,1,prom_grain_mold_ml_2025
onegen_0015,2026-07-14,An improved method for screening Fusarium stalk rot resistance in grain sorghum (Sorghum bicolor (L.) Moench.),"Tesso T, Ochanda N, Claflin L, Tuinstra M. African Journal of Plant Science. 2009;3(11):254-262.",10.5897/AJPS.9000014,https://www.academicjournals.org/article/article1380104152_Tesso%20et%20al.pdf,https://www.academicjournals.org/article/article1380104152_Tesso%20et%20al.pdf,onegen_0015.pdf,2026-07-14,9ce192d85a874fedded9667d0cfc6d8ff61f75bda9c62cf2ce94092873ca802e,Publisher copyright stated,Article PDF copyright line,Publisher permission governs redistribution,Fusarium stalk rot,59 named sorghum genotypes in the 2008 validation panel,Table 4 reports lesion length and nodes crossed for the named genotypes,"Manhattan, Kansas field screen; F. thapsinum; 1 x 10^5 conidia/ml; 35-day incubation",Distinct 2008 validation screen; the 2001-2002 protocol-development experiments are separate smaller cohorts in the same paper.,Descriptive scientific context,prombib_055,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
onegen_0016,2026-07-14,Analysis of combining ability for ergot resistance in grain sorghum.,Analysis of combining ability for ergot resistance in grain sorghum.,10.2135/cropsci2002.1818,,,,2026-07-14,,,,,,,,,,Literature context,prombib_021; prombib_029,"Ergot Response for the Sorghum Genotype IS8525; Evaluation of Sorghum Germplasm from China against Claviceps africana , Causal Agent of Sorghum Ergot",1,
onegen_0017,2026-07-14,Analysis of gene expression profiles in response to Sporisorium reilianum f. sp. zeae in maize (Zea mays L.),Analysis of gene expression profiles in response to Sporisorium reilianum f. sp. zeae in maize (Zea mays L.),10.1016/j.ejbt.2014.07.006,,,,2026-07-14,,,,,,,,,,Literature context,prombib_116,Diseases of Johnsongrass ( Sorghum halepense ): possible role as a reservoir of pathogens affecting other plants,1,
onegen_0018,2026-07-14,Analysis of Resistance to Ergot in Sorghum and Potential Alternate Hosts,Analysis of Resistance to Ergot in Sorghum and Potential Alternate Hosts,10.2135/cropsci2002.1135,,,,2026-07-14,,,,,,,,,,Literature context,prombib_017; prombib_021; prombib_026; prombib_029,"Diversidad Genética de Aislamientos de Cornezuelo (Claviceps africana Frederickson, Mantle y de Milliano) de Sorgo [Sorghum bicolor (L.) Moench.] en México; Ergot Response for the Sorghum Genotype IS8525; Evaluation of Sorghum Germplasm from China against Claviceps africana , Causal Agent of Sorghum Ergot; Inoculation Techniques for Identifying Resistance in Sorghum Genotypes to Sorghum Ergot",1,
onegen_0019,2026-07-14,Analysis of Stalk Rot Resistance and Genetic Diversity among Drought Tolerant Sorghum Genotypes,Analysis of Stalk Rot Resistance and Genetic Diversity among Drought Tolerant Sorghum Genotypes,10.2135/cropsci2005.0645,,,,2026-07-14,,,,,,,,,,Literature context,prombib_055,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew",1,
onegen_0020,2026-07-14,Anthracnose Disease Response for Photoperiod-Insensitive Ethiopian Germplasm from the U.S. Sorghum Collection,Anthracnose Disease Response for Photoperiod-Insensitive Ethiopian Germplasm from the U.S. Sorghum Collection,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_061,Assessments of genetic diversity and anthracnose disease response among Zimbabwe sorghum germplasm.,1,
onegen_0021,2026-07-14,Anthracnose disease response for photoperiod‐insensitive Ethiopian germplasm from the US sorghum collection,Anthracnose disease response for photoperiod‐insensitive Ethiopian germplasm from the US sorghum collection,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_061,Assessments of genetic diversity and anthracnose disease response among Zimbabwe sorghum germplasm.,1,
onegen_0022,2026-07-14,Anthracnose disease response in the Burundi sorghum germplasm collection,Erpelding JE. Anthracnose disease response in the Burundi sorghum germplasm collection. 2010.,10.5251/abjna.2010.1.6.1119.1125,https://doi.org/10.5251/abjna.2010.1.6.1119.1125,https://www.scihub.org/ABJNA/PDF/2010/6/ABJNA-1-6-1119-1125.pdf,onegen_0022_anthracnose_disease_response_in_the_burundi_sorghum_germplasm_collection.pdf,2026-07-14,27e04ab6a09148c7692fd29a21a38eca8a0b9948c9d49388ae3ec872d35cb437,Public full text available,Article PDF,,Anthracnose,148 named Burundi accessions plus named controls,accession-level anthracnose response table,Inoculated field evaluation,Distinct Burundi germplasm evaluation.,Descriptive scientific context,prombib_123,"Pathogenic variability of Colletotrichum sublineolum isolates on sorghum differentials under greenhouse conditions in Jimma, Ethiopia",1,
onegen_0023,2026-07-14,Anthracnose field evaluation of sorghum germplasm from Botswana,Erpelding JE. Plant Protection Science. 2011;47:149-156.,10.17221/34/2010-PPS,https://doi.org/10.17221/34/2010-PPS,https://pps.agriculturejournals.cz/pdfs/pps/2011/04/03.pdf,erpelding_2011_botswana_anthracnose_10.17221_34_2010-PPS.pdf,2026-07-14,a4524902ca469b56e3f120194f905ab894f9336d43cd5b34a0a5d3e090cec3f2,Creative Commons Attribution-NonCommercial 4.0,Https://pps.agriculturejournals.cz/artkey/pps-201104-0003_anthracnose-field-evaluation-of-sorghum-germplasm-from-botswana.php,Reuse permitted for noncommercial purposes,Anthracnose,154 named Botswana accessions plus named controls,Table 1 publishes 2007 and 2008 anthracnose ratings and severity percentages,"Inoculated Isabela, Puerto Rico field trials",The 2007 to 2008 Botswana evaluation generated its own disease-response measurements.,Descriptive scientific context,prombib_086; prombib_089; prombib_097; prombib_106; prombib_126; prombib_141,"Genetic diversity, population structure and anthracnose resistance response in a novel sweet sorghum diversity panel; Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel; Genome-wide association mapping of anthracnose (Colletotrichum sublineolum) resistance in NPGS Ethiopian sorghum germplasm; Genomic dissection of anthracnose (Colletotrichum sublineolum) resistance response in sorghum differential line SC112-14; Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes; The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760",1,
onegen_0024,2026-07-14,Anthracnose Resistance in Sorghum Breeding Lines Developed from Ethiopian Germplasm,Anthracnose Resistance in Sorghum Breeding Lines Developed from Ethiopian Germplasm,10.1094/php-2010-1123-02-rs,,,,2026-07-14,,,,,,,,,,Literature context,prombib_131,Evaluation of a subset of Ethiopia sorghum collection germplasm from the National Genetic Resources Program of the United States Department of Agriculture for anthracnose resistance,1,
onegen_0025,2026-07-14,Anthracnose Resistance in Sorghum Germplasm from the Segou Region of Mali,Anthracnose Resistance in Sorghum Germplasm from the Segou Region of Mali,10.1080/15427528.2011.650295,,,,2026-07-14,,,,,,,,,,Literature context,prombib_061; prombib_086; prombib_097; prombib_106; prombib_126,Assessments of genetic diversity and anthracnose disease response among Zimbabwe sorghum germplasm.; Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel; Genome-wide association mapping of anthracnose (Colletotrichum sublineolum) resistance in NPGS Ethiopian sorghum germplasm; Genomic dissection of anthracnose (Colletotrichum sublineolum) resistance response in sorghum differential line SC112-14; The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760,1,
onegen_0026,2026-07-14,Antifungal proteins and grain mold resistance in sorghum with nonpigmented testa,Antifungal proteins and grain mold resistance in sorghum with nonpigmented testa,10.1021/jf9903814,,,,2026-07-14,,,,,,,,,,Literature context,prombib_011; prombib_047,"Response of eight sorghum cultivars inoculated with Fusarium thapsinum, Curvularia lunata, and a mixture of the two fungi; Sorghum pathology and biotechnology - a fungal disease perspective: Part I. Grain mold, head smut, and ergot",1,
onegen_0027,2026-07-14,"Aragaw G, Terefe H (2024) Response of sorghum genotypes to anthracnose (Colletotrichum sublineolum) resistance under field conditions in Eastern Ethiopia. PLoS One 19:e0316016",Response of sorghum genotypes to anthracnose resistance under field conditions in eastern Ethiopia (2024),10.1371/journal.pone.0316016,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316016,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0316016&type=manuscript,pone.0316016.xml,2026-07-14,6b0c225c76a6a522d3650841d10f2de39507fd965923bee1faa46f9f67f876d9,Creative Commons Attribution 4.0,Https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316016,Reuse permitted under the published terms,Anthracnose,49 genotypes,Public genotype-by-year main tables,,Distinct Hirna 2017-2018 natural field experiment,Quantitative analysis of accession or line responses,prombib_164,Candidate genes for anthracnose resistance in Senegalese sorghum: a machine learning-based exploration,1,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024
onegen_0028,2026-07-14,"Aruna, C., Das, I.K., Reddy, P.S., Ghorade, R.B., Gulhane, A.R., Kalpande, V.V., Kajjidoni, S.T., Hanamaratti, N.G., Chattannavar, S.N., and Mehtre, S. (2021). Development of sorghum genotypes for improved yield and resistance to grain mold using population breeding approach. Front. Plant Sci., 12.",Aruna C et al. Frontiers in Plant Science. 2021;12:687332.,10.3389/fpls.2021.687332,https://doi.org/10.3389/fpls.2021.687332,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2021.687332/pdf,aruna_2021_population_breeding_10.3389_fpls.2021.687332.pdf,2026-07-14,c67b120079d334a96db2b4f600cc32e1a3299cc1b1870e4a670306e4c303118c,Creative Commons Attribution 4.0,PDF copyright and license statement,Reuse permitted under the published terms,Grain mold,"33 breeding derivatives labeled G1 to G33, plus checks B58586 and 296B",Table 3 publishes across-location 2017 and 2018 grain mold scores for 35 study lines,Four Indian locations; the 2017 cohort was selected from 150 lines,Population-breeding experiment with study-specific G labels,Descriptive scientific context,prombib_150; prombib_170; prombib_171,"A haplotype-layered GWAS identifies a multi-trait grain mold resistance hub on sorghum chromosome 5; Agronomic traits of sorghum cultivars from the US and Senegal and their response to grain mold infection; Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold",1,
onegen_0029,2026-07-14,"Ashok Kumar A, Reddy BV, Thakur R, Ramaiah B (2008) Improved sorghum hybrids with grain mold resistance. J SAT Agric Res 6:1–4","Ashok Kumar A, Reddy BV, Thakur R, Ramaiah B (2008) Improved sorghum hybrids with grain mold resistance. J SAT Agric Res 6:1–4",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_165,Machine learning reveals complex genetics of fungal resistance in sorghum grain mold,1,
onegen_0030,2026-07-14,Assessing the vulnerability of selected sorghum lines from the United States of America to long smut (Sporisorium ehrenbergii Vánky) disease,Assessing the vulnerability of selected sorghum lines from the United States of America to long smut disease (2007),10.1016/j.cropro.2007.03.011,https://doi.org/10.1016/j.cropro.2007.03.011,,main article tables,,,,Https://doi.org/10.1016/j.cropro.2007.03.011,,Long smut,Selected US lines,Disease-response values for candidate lines,,,Literature context,prombib_064; prombib_090; prombib_109,"Evaluation of selected sorghum lines and hybrids for resistance to grain mold and long smut fungi in Senegal, West Africa; Response of sorghum lines and hybrids from the United States to long smut and grain mold; Response of the set of anthracnose differentials to other foliar and panicle diseases in Niger",1,prom_us_lines_long_smut_2007
onegen_0031,2026-07-14,Assessing the Vulnerability of Sorghum Converted Lines to Anthracnose and Downy Mildew Infection,Assessing the Vulnerability of Sorghum Converted Lines to Anthracnose and Downy Mildew Infection (2016),URL:https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,,main article tables,,,,Https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,,Anthracnose; Downy mildew,Converted lines,Disease-response values for candidate lines,,Distinct measurements from this study,Literature context,prombib_086; prombib_097; prombib_126; prombib_141,"Genetic diversity, population structure and anthracnose resistance response in a novel sweet sorghum diversity panel; Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel; Genome-wide association mapping of anthracnose (Colletotrichum sublineolum) resistance in NPGS Ethiopian sorghum germplasm; The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760",1,prom_converted_lines_anthracnose_downy_2016
onegen_0032,2026-07-14,Assessment of anthracnose resistance ( Colletotrichum graminicola ) in sorghum ( Sorghum bicolor ) germplasm under field conditions in Nigeria,Assessment of anthracnose resistance ( Colletotrichum graminicola ) in sorghum ( Sorghum bicolor ) germplasm under field conditions in Nigeria,10.1017/s002185960100185x,,,,2026-07-14,,,,,,,,,,Literature context,prombib_055; prombib_074,"Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew; The impact of weather conditions on response of sorghum genotypes to anthracnose (Colletotrichum sublineola) infection",1,
onegen_0033,2026-07-14,"Assessment of Farmers’ Perceptions of Production Constraints, and Their Trait Preferences of Sorghum in Western ETHIOPIA: Implications for Anthracnose Resistance Breeding","Assessment of Farmers’ Perceptions of Production Constraints, and Their Trait Preferences of Sorghum in Western ETHIOPIA: Implications for Anthracnose Resistance Breeding",10.1080/09064710.2018.1541190,,,,2026-07-14,,,,,,,,,,Literature context,prombib_157,Genome-wide association analysis uncovers genes associated with resistance to head smut pathotype 5 in senegalese sorghum accessions,1,
onegen_0034,2026-07-14,Assessment of losses in sorghum due to target leaf spot (Bipolaris sorghicola) at varying disease severity levels,Assessment of losses in sorghum due to target leaf spot (Bipolaris sorghicola) at varying disease severity levels,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_116,Diseases of Johnsongrass ( Sorghum halepense ): possible role as a reservoir of pathogens affecting other plants,1,
onegen_0035,2026-07-14,Assessment of sorghum genetic resources of Ethiopia for anthracnose ( Colletotrichum sublineolum Henn.) resistance and agronomic traits,Assessment of sorghum genetic resources of Ethiopia for anthracnose ( Colletotrichum sublineolum Henn.) resistance and agronomic traits,10.1111/jph.12861,,,,2026-07-14,,,,,,,,,,Literature context,prombib_131; prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold; Evaluation of a subset of Ethiopia sorghum collection germplasm from the National Genetic Resources Program of the United States Department of Agriculture for anthracnose resistance",1,
onegen_0036,2026-07-14,Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose,Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose (2015),10.1016/j.cropro.2015.10.007,https://doi.org/10.1016/j.cropro.2015.10.007,,main article tables,,,,Https://doi.org/10.1016/j.cropro.2015.10.007,,Anthracnose; Grain mold,Burkina Faso and South Africa germplasm,Disease-response values for candidate accessions,,Distinct measurements from this study,Literature context,prombib_081; prombib_086; prombib_088; prombib_089; prombib_097; prombib_098; prombib_105; prombib_106; prombib_112; prombib_126; prombib_147,"Genome-wide association mapping of anthracnose (Collectotrichum sublineolun) resistance in the U.S. sorghum association panel; Genome-wide association mapping of anthracnose (Colletotrichum sublineolum) resistance in NPGS Ethiopian sorghum germplasm; Genome-wide association mapping of grain mold resistance in the U.S. sorghum association panel; Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined; Genomic dissection of anthracnose (Colletotrichum sublineolum) resistance response in sorghum differential line SC112-14; Mycoflora analysis and other measured parameters of sorghum seeds collected from Puerto Rico and Mexico; Population structure of the NPGS Senegalese sorghum collection and its evaluation to identify new disease resistant genes; Reaction of sorghum differentials to grain mold infection in Puerto Rico; Screening of sorghum lines against long smut and grain mold pathogens; Survey of the prevalence and incidence of foliar and panicle diseases of sorghum across production fields in Niger; The inheritance of anthracnose (Colletotrichum sublineola) resistance in sorghum differential lines QL3 and IS18760",1,prom_burkina_south_africa_anthracnose_grain_mold_2015
onegen_0037,2026-07-14,Assessment of sorghum grain mould: disease severity and crop loss,Assessment of sorghum grain mould: disease severity and crop loss,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_011; prombib_015; prombib_045,"Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance; Response of eight sorghum cultivars inoculated with Fusarium thapsinum, Curvularia lunata, and a mixture of the two fungi; The Effects of Fusarium thapsinum, Curvularia lunata , and Their Combination on Sorghum Germination and Seed Mycoflora",1,
